UnitNumber,price,overall_satisfaction,reviews,room_type,accommodates,bedrooms,minstay,neighborhood,district,WalkScore,TransitScore,BikeScore,PctRentals
36,75,4.5,80,Private room,2,1,1,Albany Park,Far North,87,62,68,0.042531539
37,60,5,10,Private room,2,1,2,Albany Park,Far North,87,62,68,0.042531539
38,100,4.5,10,Entire home/apt,5,2,3,Albany Park,Far North,87,62,68,0.042531539
39,150,4.5,19,Entire home/apt,6,3,1,Albany Park,Far North,87,62,68,0.042531539
40,39,5,21,Private room,4,1,1,Albany Park,Far North,87,62,68,0.042531539
41,94,5,52,Entire home/apt,4,2,1,Albany Park,Far North,87,62,68,0.042531539
42,89,5,9,Entire home/apt,4,1,NA,Albany Park,Far North,87,62,68,0.042531539
43,49,4.5,4,Private room,8,1,1,Albany Park,Far North,87,62,68,0.042531539
44,114,4.5,45,Entire home/apt,4,2,1,Albany Park,Far North,87,62,68,0.042531539
45,40,4.5,9,Private room,2,1,1,Albany Park,Far North,87,62,68,0.042531539
46,80,4.5,14,Private room,4,1,1,Albany Park,Far North,87,62,68,0.042531539
47,95,5,5,Entire home/apt,5,2,2,Albany Park,Far North,87,62,68,0.042531539
48,87,5,16,Entire home/apt,2,0,1,Albany Park,Far North,87,62,68,0.042531539
49,100,5,33,Entire home/apt,2,1,3,Albany Park,Far North,87,62,68,0.042531539
50,250,5,4,Entire home/apt,7,4,1,Albany Park,Far North,87,62,68,0.042531539
51,70,4,4,Private room,2,1,1,Albany Park,Far North,87,62,68,0.042531539
52,50,5,30,Private room,2,1,1,Archer Heights,Southwest,74,57,61,0.008593397
53,50,4.5,29,Private room,2,1,1,Archer Heights,Southwest,74,57,61,0.008593397
54,100,4.5,43,Entire home/apt,6,3,1,Archer Heights,Southwest,74,57,61,0.008593397
55,40,5,5,Shared room,1,1,1,Archer Heights,Southwest,74,57,61,0.008593397
56,45,4.5,36,Private room,2,1,1,Archer Heights,Southwest,74,57,61,0.008593397
57,106,3.5,3,Entire home/apt,6,2,1,Avondale,North,84,68,77,0.021197855
58,275,5,9,Entire home/apt,6,3,NA,Avondale,North,84,68,77,0.021197855
59,85,5,51,Private room,2,1,NA,Avondale,North,84,68,77,0.021197855
60,70,5,3,Private room,4,1,1,Avondale,North,84,68,77,0.021197855
61,89,5,23,Entire home/apt,2,1,1,Avondale,North,84,68,77,0.021197855
62,100,5,6,Entire home/apt,5,2,2,Avondale,North,84,68,77,0.021197855
63,69,4.5,46,Entire home/apt,4,1,1,Avondale,North,84,68,77,0.021197855
64,105,5,59,Entire home/apt,4,1,3,Avondale,North,84,68,77,0.021197855
65,399,4.5,27,Entire home/apt,8,3,2,Avondale,North,84,68,77,0.021197855
66,35,4.5,31,Shared room,2,1,1,Avondale,North,84,68,77,0.021197855
67,110,5,46,Private room,2,1,1,Avondale,North,84,68,77,0.021197855
68,79,5,58,Entire home/apt,2,0,1,Avondale,North,84,68,77,0.021197855
69,177,5,44,Entire home/apt,8,2,NA,Avondale,North,84,68,77,0.021197855
70,78,5,4,Entire home/apt,3,1,1,Avondale,North,84,68,77,0.021197855
71,150,5,4,Entire home/apt,4,2,1,Avondale,North,84,68,77,0.021197855
72,110,4.5,22,Entire home/apt,2,1,7,Avondale,North,84,68,77,0.021197855
73,70,5,4,Private room,2,1,1,Avondale,North,84,68,77,0.021197855
74,75,4.5,59,Entire home/apt,4,2,2,Avondale,North,84,68,77,0.021197855
75,35,4.5,10,Private room,2,1,1,Avondale,North,84,68,77,0.021197855
76,500,5,3,Entire home/apt,6,3,1,Avondale,North,84,68,77,0.021197855
77,90,4.5,15,Private room,2,1,1,Avondale,North,84,68,77,0.021197855
78,145,5,18,Entire home/apt,6,2,3,Avondale,North,84,68,77,0.021197855
79,80,5,43,Private room,2,1,NA,Avondale,North,84,68,77,0.021197855
80,44,4.5,3,Private room,2,1,1,Avondale,North,84,68,77,0.021197855
81,115,5,29,Entire home/apt,8,2,2,Avondale,North,84,68,77,0.021197855
82,75,5,3,Entire home/apt,2,1,1,Avondale,North,84,68,77,0.021197855
83,115,5,79,Entire home/apt,8,2,2,Avondale,North,84,68,77,0.021197855
84,40,5,3,Private room,2,1,1,Avondale,North,84,68,77,0.021197855
85,72,5,4,Entire home/apt,3,1,5,Avondale,North,84,68,77,0.021197855
86,69,4.5,27,Private room,2,1,NA,Avondale,North,84,68,77,0.021197855
87,55,4.5,52,Private room,2,1,1,Avondale,North,84,68,77,0.021197855
88,85,5,7,Entire home/apt,2,1,2,Avondale,North,84,68,77,0.021197855
89,75,5,12,Entire home/apt,4,2,NA,Avondale,North,84,68,77,0.021197855
90,499,5,6,Entire home/apt,16,9,2,Avondale,North,84,68,77,0.021197855
91,55,5,66,Private room,4,1,1,Avondale,North,84,68,77,0.021197855
92,75,5,26,Private room,3,1,1,Avondale,North,84,68,77,0.021197855
93,139,5,4,Entire home/apt,8,3,2,Avondale,North,84,68,77,0.021197855
94,65,5,22,Private room,3,1,NA,Avondale,North,84,68,77,0.021197855
95,150,5,8,Entire home/apt,6,3,1,Avondale,North,84,68,77,0.021197855
96,35,5,7,Shared room,1,1,1,Avondale,North,84,68,77,0.021197855
97,29,5,4,Shared room,3,1,1,Avondale,North,84,68,77,0.021197855
98,159,5,9,Entire home/apt,8,3,2,Avondale,North,84,68,77,0.021197855
99,135,4.5,4,Entire home/apt,6,3,2,Avondale,North,84,68,77,0.021197855
100,110,5,40,Private room,2,1,1,Avondale,North,84,68,77,0.021197855
101,119,5,21,Entire home/apt,6,2,NA,Avondale,North,84,68,77,0.021197855
102,152,5,33,Entire home/apt,8,2,NA,Avondale,North,84,68,77,0.021197855
103,20,5,34,Shared room,1,1,1,Avondale,North,84,68,77,0.021197855
104,143,4.5,6,Entire home/apt,8,3,2,Avondale,North,84,68,77,0.021197855
105,70,4.5,48,Private room,4,1,2,Avondale,North,84,68,77,0.021197855
106,29,4.5,10,Private room,2,1,1,Avondale,North,84,68,77,0.021197855
107,30,4.5,3,Private room,1,1,1,Avondale,North,84,68,77,0.021197855
108,46,4.5,12,Shared room,7,1,1,Avondale,North,84,68,77,0.021197855
109,85,4.5,127,Entire home/apt,3,2,2,Avondale,North,84,68,77,0.021197855
110,70,5,31,Private room,2,1,1,Avondale,North,84,68,77,0.021197855
111,130,4.5,20,Entire home/apt,8,2,1,Avondale,North,84,68,77,0.021197855
112,95,4.5,38,Entire home/apt,2,1,4,Avondale,North,84,68,77,0.021197855
113,299,5,13,Entire home/apt,5,2,2,Avondale,North,84,68,77,0.021197855
114,45,4.5,75,Private room,2,1,1,Avondale,North,84,68,77,0.021197855
115,130,5,49,Entire home/apt,3,1,2,Avondale,North,84,68,77,0.021197855
116,99,5,25,Entire home/apt,4,2,1,Avondale,North,84,68,77,0.021197855
117,90,5,61,Private room,2,1,1,Beverly,Far Southwest,64,50,68,0.348642806
118,60,5,8,Private room,4,1,1,Beverly,Far Southwest,64,50,68,0.348642806
119,115,4.5,58,Entire home/apt,5,1,2,Bridgeport,South,81,61,82,0.028071315
120,95,3.5,11,Entire home/apt,4,3,1,Bridgeport,South,81,61,82,0.028071315
121,55,5,10,Private room,2,1,1,Bridgeport,South,81,61,82,0.028071315
122,65,4.5,14,Entire home/apt,7,3,3,Bridgeport,South,81,61,82,0.028071315
123,29,4.5,39,Private room,2,1,2,Bridgeport,South,81,61,82,0.028071315
124,42,5,3,Private room,2,1,1,Bridgeport,South,81,61,82,0.028071315
125,190,4,5,Entire home/apt,6,2,NA,Bridgeport,South,81,61,82,0.028071315
126,70,3.5,8,Entire home/apt,4,2,2,Bridgeport,South,81,61,82,0.028071315
127,49,4.5,24,Private room,2,1,1,Bridgeport,South,81,61,82,0.028071315
128,58,4.5,145,Private room,2,1,2,Bridgeport,South,81,61,82,0.028071315
129,48,4.5,41,Private room,4,1,1,Bridgeport,South,81,61,82,0.028071315
130,75,5,27,Private room,2,1,1,Bridgeport,South,81,61,82,0.028071315
131,159,5,20,Entire home/apt,5,2,1,Bridgeport,South,81,61,82,0.028071315
132,29,5,37,Private room,2,1,2,Bridgeport,South,81,61,82,0.028071315
133,91,4.5,68,Entire home/apt,5,2,NA,Bridgeport,South,81,61,82,0.028071315
134,78,5,23,Private room,4,1,1,Bridgeport,South,81,61,82,0.028071315
135,62,5,5,Private room,2,1,1,Bridgeport,South,81,61,82,0.028071315
136,100,4.5,4,Entire home/apt,4,1,1,Bridgeport,South,81,61,82,0.028071315
137,110,4.5,18,Entire home/apt,8,2,1,Bridgeport,South,81,61,82,0.028071315
138,95,4,9,Entire home/apt,7,3,3,Bridgeport,South,81,61,82,0.028071315
139,100,5,75,Entire home/apt,6,1,3,Bridgeport,South,81,61,82,0.028071315
140,65,5,24,Private room,2,1,1,Bridgeport,South,81,61,82,0.028071315
141,55,5,4,Private room,2,1,1,Bridgeport,South,81,61,82,0.028071315
142,45,4.5,16,Shared room,2,1,1,Bridgeport,South,81,61,82,0.028071315
143,37,4.5,34,Private room,1,1,3,Bridgeport,South,81,61,82,0.028071315
144,20,4,10,Private room,3,1,1,Bridgeport,South,81,61,82,0.028071315
145,190,5,5,Entire home/apt,6,3,NA,Bridgeport,South,81,61,82,0.028071315
146,145,4.5,4,Entire home/apt,3,2,2,Bridgeport,South,81,61,82,0.028071315
147,76,5,13,Private room,3,1,2,Bridgeport,South,81,61,82,0.028071315
148,50,5,4,Private room,2,1,1,Bridgeport,South,81,61,82,0.028071315
149,110,5,59,Entire home/apt,6,2,3,Bridgeport,South,81,61,82,0.028071315
150,35,4.5,17,Private room,2,1,1,Bridgeport,South,81,61,82,0.028071315
151,80,4.5,26,Private room,3,1,1,Bridgeport,South,81,61,82,0.028071315
152,42,3.5,6,Private room,2,1,1,Bridgeport,South,81,61,82,0.028071315
153,55,5,20,Private room,6,1,2,Bridgeport,South,81,61,82,0.028071315
154,275,4.5,11,Entire home/apt,10,4,2,Bridgeport,South,81,61,82,0.028071315
155,36,5,33,Private room,1,1,1,Bridgeport,South,81,61,82,0.028071315
156,34,4.5,31,Private room,1,1,2,Bridgeport,South,81,61,82,0.028071315
157,114,5,31,Entire home/apt,3,1,NA,Bridgeport,South,81,61,82,0.028071315
158,75,4.5,30,Entire home/apt,7,3,3,Bridgeport,South,81,61,82,0.028071315
159,115,4.5,25,Entire home/apt,5,2,2,Bridgeport,South,81,61,82,0.028071315
160,84,4,11,Entire home/apt,2,2,3,Bridgeport,South,81,61,82,0.028071315
161,58,5,98,Private room,2,1,1,Bridgeport,South,81,61,82,0.028071315
162,136,4.5,10,Entire home/apt,6,2,2,Bridgeport,South,81,61,82,0.028071315
163,62,5,4,Private room,2,1,1,Bridgeport,South,81,61,82,0.028071315
164,42,4.5,24,Private room,3,1,1,Bridgeport,South,81,61,82,0.028071315
165,55,5,21,Entire home/apt,2,1,1,Bridgeport,South,81,61,82,0.028071315
166,65,5,17,Private room,3,1,3,Bridgeport,South,81,61,82,0.028071315
167,90,4.5,47,Entire home/apt,6,2,NA,Bridgeport,South,81,61,82,0.028071315
168,35,5,4,Private room,1,1,1,Bridgeport,South,81,61,82,0.028071315
169,210,5,7,Entire home/apt,8,3,3,Brighton Park,Southwest,72,60,65,0.015316049
170,56,5,26,Entire home/apt,5,1,1,Brighton Park,Southwest,72,60,65,0.015316049
171,50,5,3,Shared room,5,1,1,Brighton Park,Southwest,72,60,65,0.015316049
172,35,4.5,52,Private room,4,1,2,Burnside,Far Southeast,63,66,49,1
173,30,4.5,152,Private room,2,1,2,Burnside,Far Southeast,63,66,49,1
174,16,3.5,14,Private room,1,1,1,Calumet Heights,Far Southeast,63,58,54,0.934678124
175,16,4,13,Private room,1,1,1,Calumet Heights,Far Southeast,63,58,54,0.934678124
176,100,4.5,65,Entire home/apt,4,1,4,East Garfield Park,West,78,73,74,0.912761425
177,169,4.5,22,Entire home/apt,12,4,2,East Garfield Park,West,78,73,74,0.912761425
178,69,5,31,Private room,2,1,1,East Garfield Park,West,78,73,74,0.912761425
179,109,4.5,8,Entire home/apt,8,2,1,East Garfield Park,West,78,73,74,0.912761425
180,175,5,3,Private room,1,1,1,East Garfield Park,West,78,73,74,0.912761425
181,95,3.5,29,Entire home/apt,8,2,2,East Garfield Park,West,78,73,74,0.912761425
182,109,4.5,15,Entire home/apt,8,2,1,East Garfield Park,West,78,73,74,0.912761425
183,79,4.5,56,Entire home/apt,6,2,1,East Garfield Park,West,78,73,74,0.912761425
184,79,4.5,36,Private room,6,1,1,East Garfield Park,West,78,73,74,0.912761425
185,54,4.5,22,Private room,4,1,1,East Garfield Park,West,78,73,74,0.912761425
186,52,4.5,63,Private room,4,1,1,East Garfield Park,West,78,73,74,0.912761425
187,48,4.5,48,Private room,2,1,1,East Garfield Park,West,78,73,74,0.912761425
188,133,4.5,14,Entire home/apt,6,2,1,East Garfield Park,West,78,73,74,0.912761425
189,88,4,11,Entire home/apt,4,1,1,East Garfield Park,West,78,73,74,0.912761425
190,35,4.5,11,Private room,5,1,1,East Garfield Park,West,78,73,74,0.912761425
191,36,4.5,39,Private room,2,1,1,East Garfield Park,West,78,73,74,0.912761425
192,49,4.5,64,Private room,2,1,1,East Garfield Park,West,78,73,74,0.912761425
193,165,5,32,Private room,8,1,1,East Garfield Park,West,78,73,74,0.912761425
194,85,4.5,30,Entire home/apt,6,3,1,East Garfield Park,West,78,73,74,0.912761425
195,89,5,4,Private room,2,1,2,East Garfield Park,West,78,73,74,0.912761425
196,95,4.5,76,Entire home/apt,7,3,2,East Garfield Park,West,78,73,74,0.912761425
197,42,4.5,12,Private room,2,1,1,East Garfield Park,West,78,73,74,0.912761425
198,140,5,22,Entire home/apt,2,2,1,East Garfield Park,West,78,73,74,0.912761425
199,55,5,73,Private room,2,1,1,East Garfield Park,West,78,73,74,0.912761425
200,55,5,41,Private room,2,1,1,East Garfield Park,West,78,73,74,0.912761425
201,55,4.5,141,Entire home/apt,4,0,2,East Garfield Park,West,78,73,74,0.912761425
202,50,3.5,3,Private room,2,1,NA,East Garfield Park,West,78,73,74,0.912761425
203,98,4.5,24,Entire home/apt,6,1,1,East Garfield Park,West,78,73,74,0.912761425
204,55,5,86,Private room,2,1,1,East Garfield Park,West,78,73,74,0.912761425
205,79,4.5,205,Entire home/apt,5,1,1,East Garfield Park,West,78,73,74,0.912761425
206,96,4.5,22,Entire home/apt,6,0,1,East Garfield Park,West,78,73,74,0.912761425
207,50,5,21,Private room,2,1,2,East Garfield Park,West,78,73,74,0.912761425
208,100,5,17,Private room,2,1,1,East Garfield Park,West,78,73,74,0.912761425
209,49,5,7,Private room,2,1,2,East Garfield Park,West,78,73,74,0.912761425
210,59,5,29,Private room,2,1,2,East Garfield Park,West,78,73,74,0.912761425
211,120,4,4,Entire home/apt,6,2,2,East Garfield Park,West,78,73,74,0.912761425
212,88,4.5,26,Entire home/apt,6,2,1,East Garfield Park,West,78,73,74,0.912761425
213,125,5,41,Entire home/apt,4,2,2,Edgewater,Far North,89,72,85,0.143112277
214,95,5,54,Entire home/apt,4,1,2,Edgewater,Far North,89,72,85,0.143112277
215,194,5,20,Entire home/apt,6,3,3,Edgewater,Far North,89,72,85,0.143112277
216,250,5,5,Entire home/apt,8,2,2,Edgewater,Far North,89,72,85,0.143112277
217,100,4.5,4,Entire home/apt,4,2,4,Edgewater,Far North,89,72,85,0.143112277
218,44,5,5,Private room,3,1,2,Edgewater,Far North,89,72,85,0.143112277
219,50,4,8,Entire home/apt,6,1,1,Edgewater,Far North,89,72,85,0.143112277
220,64,5,24,Private room,2,1,3,Edgewater,Far North,89,72,85,0.143112277
221,100,5,18,Private room,2,1,1,Edgewater,Far North,89,72,85,0.143112277
222,60,5,284,Private room,2,1,1,Edgewater,Far North,89,72,85,0.143112277
223,95,5,13,Entire home/apt,4,1,1,Edgewater,Far North,89,72,85,0.143112277
224,125,4.5,3,Entire home/apt,5,2,1,Edgewater,Far North,89,72,85,0.143112277
225,51,5,14,Entire home/apt,2,0,3,Edgewater,Far North,89,72,85,0.143112277
226,120,5,11,Private room,2,1,1,Edgewater,Far North,89,72,85,0.143112277
227,105,4.5,27,Entire home/apt,4,1,2,Edgewater,Far North,89,72,85,0.143112277
228,125,5,18,Entire home/apt,2,1,1,Edgewater,Far North,89,72,85,0.143112277
229,65,5,44,Entire home/apt,2,0,2,Edgewater,Far North,89,72,85,0.143112277
230,70,5,47,Private room,2,1,2,Edgewater,Far North,89,72,85,0.143112277
231,75,4.5,35,Entire home/apt,2,1,1,Edgewater,Far North,89,72,85,0.143112277
232,44,5,21,Private room,1,1,3,Edgewater,Far North,89,72,85,0.143112277
233,65,5,16,Private room,1,1,2,Edgewater,Far North,89,72,85,0.143112277
234,120,4.5,173,Entire home/apt,4,2,NA,Edgewater,Far North,89,72,85,0.143112277
235,70,5,6,Entire home/apt,2,0,2,Edgewater,Far North,89,72,85,0.143112277
236,70,4.5,16,Private room,2,1,1,Edgewater,Far North,89,72,85,0.143112277
237,90,5,27,Entire home/apt,2,1,2,Edgewater,Far North,89,72,85,0.143112277
238,199,5,9,Entire home/apt,8,2,2,Edgewater,Far North,89,72,85,0.143112277
239,42,5,83,Private room,2,1,1,Edgewater,Far North,89,72,85,0.143112277
240,38,5,8,Private room,2,1,1,Edgewater,Far North,89,72,85,0.143112277
241,125,5,8,Entire home/apt,3,1,1,Edgewater,Far North,89,72,85,0.143112277
242,85,4.5,33,Entire home/apt,4,1,1,Edgewater,Far North,89,72,85,0.143112277
243,60,5,14,Private room,2,1,1,Edgewater,Far North,89,72,85,0.143112277
244,96,5,52,Entire home/apt,2,1,2,Edgewater,Far North,89,72,85,0.143112277
245,124,5,7,Entire home/apt,2,1,1,Edgewater,Far North,89,72,85,0.143112277
246,170,5,117,Entire home/apt,7,3,2,Edgewater,Far North,89,72,85,0.143112277
247,85,5,13,Private room,2,1,1,Edgewater,Far North,89,72,85,0.143112277
248,150,4.5,67,Entire home/apt,6,3,1,Edison Park,Far North,66,46,56,0.010706638
249,35,3.5,3,Private room,2,1,1,Englewood,Southwest,70,65,64,0.949810497
250,20,4.5,85,Shared room,1,1,1,Gage Park,Southwest,73,60,63,0.032571234
251,20,4.5,62,Shared room,1,1,1,Gage Park,Southwest,73,60,63,0.032571234
252,25,4.5,42,Private room,2,1,1,Gage Park,Southwest,73,60,63,0.032571234
253,30,4.5,31,Private room,2,1,1,Gage Park,Southwest,73,60,63,0.032571234
254,35,5,51,Private room,2,1,1,Gage Park,Southwest,73,60,63,0.032571234
255,25,4.5,29,Private room,2,1,1,Gage Park,Southwest,73,60,63,0.032571234
256,33,5,3,Private room,3,1,1,Hegewisch,Far Southeast,52,34,65,0.062993879
257,79,4.5,12,Entire home/apt,3,2,1,Hegewisch,Far Southeast,52,34,65,0.062993879
258,125,4.5,43,Entire home/apt,4,2,3,Hermosa,Northwest,79,60,67,0.014869159
259,55,5,14,Private room,4,1,1,Hermosa,Northwest,79,60,67,0.014869159
260,195,5,3,Entire home/apt,6,2,1,Humboldt Park,West,84,67,82,0.408663722
261,80,4.5,55,Entire home/apt,6,3,1,Humboldt Park,West,84,67,82,0.408663722
262,39,3.5,3,Entire home/apt,12,3,NA,Humboldt Park,West,84,67,82,0.408663722
263,130,5,33,Entire home/apt,5,2,1,Humboldt Park,West,84,67,82,0.408663722
264,175,5,34,Entire home/apt,4,2,3,Humboldt Park,West,84,67,82,0.408663722
265,65,4.5,27,Private room,2,1,1,Humboldt Park,West,84,67,82,0.408663722
266,70,4.5,11,Entire home/apt,4,2,1,Humboldt Park,West,84,67,82,0.408663722
267,50,4.5,138,Private room,2,1,1,Humboldt Park,West,84,67,82,0.408663722
268,77,4.5,9,Entire home/apt,2,1,1,Humboldt Park,West,84,67,82,0.408663722
269,85,4.5,23,Entire home/apt,6,1,1,Humboldt Park,West,84,67,82,0.408663722
270,90,5,3,Entire home/apt,4,2,1,Humboldt Park,West,84,67,82,0.408663722
271,115,5,137,Entire home/apt,5,3,3,Humboldt Park,West,84,67,82,0.408663722
272,50,4.5,7,Private room,1,1,1,Humboldt Park,West,84,67,82,0.408663722
273,75,3,6,Entire home/apt,10,3,1,Humboldt Park,West,84,67,82,0.408663722
274,39,3.5,10,Entire home/apt,10,3,NA,Humboldt Park,West,84,67,82,0.408663722
275,80,4.5,17,Private room,2,1,1,Humboldt Park,West,84,67,82,0.408663722
276,115,5,4,Entire home/apt,2,1,1,Humboldt Park,West,84,67,82,0.408663722
277,90,5,33,Entire home/apt,5,2,1,Humboldt Park,West,84,67,82,0.408663722
278,335,4.5,3,Entire home/apt,10,3,2,Humboldt Park,West,84,67,82,0.408663722
279,126,4.5,199,Entire home/apt,10,3,NA,Humboldt Park,West,84,67,82,0.408663722
280,37,5,4,Private room,4,1,2,Humboldt Park,West,84,67,82,0.408663722
281,70,5,5,Entire home/apt,2,1,1,Humboldt Park,West,84,67,82,0.408663722
282,65,5,6,Private room,3,1,2,Humboldt Park,West,84,67,82,0.408663722
283,70,5,6,Private room,2,1,3,Humboldt Park,West,84,67,82,0.408663722
284,40,5,9,Shared room,2,1,1,Humboldt Park,West,84,67,82,0.408663722
285,65,5,7,Private room,2,1,1,Humboldt Park,West,84,67,82,0.408663722
286,100,5,4,Private room,2,1,1,Humboldt Park,West,84,67,82,0.408663722
287,130,5,44,Entire home/apt,5,2,1,Humboldt Park,West,84,67,82,0.408663722
288,85,4.5,5,Private room,2,1,1,Humboldt Park,West,84,67,82,0.408663722
289,69,5,29,Entire home/apt,2,1,1,Humboldt Park,West,84,67,82,0.408663722
290,110,4,7,Entire home/apt,4,2,1,Humboldt Park,West,84,67,82,0.408663722
291,70,5,11,Private room,2,1,3,Humboldt Park,West,84,67,82,0.408663722
292,129,4.5,149,Entire home/apt,10,3,1,Humboldt Park,West,84,67,82,0.408663722
293,45,5,4,Private room,2,1,1,Humboldt Park,West,84,67,82,0.408663722
294,85,5,80,Private room,5,1,1,Humboldt Park,West,84,67,82,0.408663722
295,120,5,25,Entire home/apt,4,1,2,Humboldt Park,West,84,67,82,0.408663722
296,60,5,3,Private room,2,1,1,Humboldt Park,West,84,67,82,0.408663722
297,39,4,9,Entire home/apt,9,3,2,Humboldt Park,West,84,67,82,0.408663722
298,99,4,47,Entire home/apt,6,2,1,Humboldt Park,West,84,67,82,0.408663722
299,99,5,3,Entire home/apt,7,3,2,Humboldt Park,West,84,67,82,0.408663722
300,99,4.5,33,Entire home/apt,6,3,NA,Humboldt Park,West,84,67,82,0.408663722
301,55,5,8,Private room,1,1,1,Humboldt Park,West,84,67,82,0.408663722
302,60,5,5,Private room,2,1,2,Humboldt Park,West,84,67,82,0.408663722
303,52,5,11,Private room,1,1,1,Humboldt Park,West,84,67,82,0.408663722
304,42,5,8,Private room,2,1,1,Humboldt Park,West,84,67,82,0.408663722
305,58,5,61,Private room,4,1,2,Humboldt Park,West,84,67,82,0.408663722
306,55,5,59,Private room,2,1,1,Humboldt Park,West,84,67,82,0.408663722
307,159,4.5,20,Entire home/apt,6,3,NA,Humboldt Park,West,84,67,82,0.408663722
308,50,5,7,Private room,2,1,1,Humboldt Park,West,84,67,82,0.408663722
309,45,5,80,Private room,2,1,3,Humboldt Park,West,84,67,82,0.408663722
310,40,4.5,3,Shared room,1,1,1,Humboldt Park,West,84,67,82,0.408663722
311,50,4.5,49,Private room,12,1,1,Humboldt Park,West,84,67,82,0.408663722
312,53,4.5,44,Private room,2,1,1,Humboldt Park,West,84,67,82,0.408663722
313,59,4.5,20,Private room,2,1,1,Humboldt Park,West,84,67,82,0.408663722
314,149,5,3,Entire home/apt,4,1,1,Humboldt Park,West,84,67,82,0.408663722
315,169,4.5,4,Entire home/apt,5,2,1,Humboldt Park,West,84,67,82,0.408663722
316,62,5,42,Private room,2,1,1,Humboldt Park,West,84,67,82,0.408663722
317,60,5,26,Private room,2,1,1,Humboldt Park,West,84,67,82,0.408663722
318,80,5,15,Entire home/apt,2,0,2,Humboldt Park,West,84,67,82,0.408663722
319,60,4.5,11,Private room,4,1,2,Humboldt Park,West,84,67,82,0.408663722
320,50,5,9,Private room,2,1,1,Humboldt Park,West,84,67,82,0.408663722
321,50,5,4,Private room,2,1,1,Humboldt Park,West,84,67,82,0.408663722
322,500,5,38,Entire home/apt,7,3,2,Humboldt Park,West,84,67,82,0.408663722
323,70,5,26,Private room,2,1,1,Humboldt Park,West,84,67,82,0.408663722
324,45,5,7,Private room,2,1,1,Humboldt Park,West,84,67,82,0.408663722
325,120,5,5,Private room,4,1,1,Humboldt Park,West,84,67,82,0.408663722
326,82,5,3,Entire home/apt,6,1,1,Humboldt Park,West,84,67,82,0.408663722
327,85,5,40,Entire home/apt,4,2,2,Humboldt Park,West,84,67,82,0.408663722
