"spam","to_multiple","from","cc","sent_email","image","attach","dollar","winner","inherit","password","num_char","line_breaks","format","re_subj","exclaim_subj","urgent_subj","exclaim_mess","number"
"notspam","no","yes","no","no","no","no","no","no","no","no",27.639,680,"HTML","no","yes","no",5,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",0.598,16,"Plain","no","no","no",1,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",4.046,107,"HTML","no","no","no",1,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",1.49,40,"Plain","no","no","no",3,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",27.214,670,"HTML","no","no","no",2,"small"
"notspam","no","yes","no","yes","no","no","no","no","no","no",12.275,276,"HTML","yes","no","no",4,"big"
"notspam","yes","yes","no","no","yes","yes","yes","no","no","no",11.289,153,"Plain","no","no","no",0,"small"
"notspam","yes","yes","no","no","no","no","no","no","no","no",5.339,95,"HTML","no","no","no",4,"big"
"notspam","no","yes","no","no","no","no","yes","no","no","no",15.689,356,"HTML","no","yes","no",2,"small"
"notspam","no","yes","yes","no","no","no","no","no","no","no",1.025,19,"HTML","no","no","no",0,"none"
"notspam","no","yes","no","no","no","no","no","no","no","no",35.379,818,"HTML","no","no","no",1,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",5.905,170,"HTML","no","no","no",0,"none"
"spam","no","yes","no","no","no","no","yes","no","no","no",1.112,31,"Plain","no","no","no",0,"big"
"notspam","no","yes","yes","no","yes","yes","no","no","no","no",7.354,208,"HTML","no","no","no",5,"small"
"notspam","no","yes","no","no","no","no","yes","no","no","no",34.368,810,"HTML","no","no","no",12,"big"
"notspam","no","yes","no","no","no","no","no","no","no","no",1.02,15,"HTML","no","no","no",2,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",4.887,112,"HTML","no","no","no",1,"big"
"notspam","no","yes","no","no","no","no","yes","no","no","no",23.64,407,"HTML","no","no","no",32,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",8.78,146,"HTML","no","no","no",7,"small"
"notspam","no","yes","yes","no","no","no","no","no","no","no",8.129,92,"HTML","no","no","no",0,"small"
"notspam","no","yes","yes","no","no","no","no","no","no","no",3.447,78,"Plain","yes","no","no",0,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",25.361,638,"HTML","no","no","no",1,"small"
"notspam","no","yes","no","no","no","no","yes","no","yes","no",11.577,266,"HTML","no","no","no",7,"small"
"notspam","no","yes","no","no","no","no","no","no","no","yes",10.366,198,"HTML","no","no","no",1,"big"
"notspam","yes","yes","no","no","no","yes","no","no","no","no",1.307,35,"Plain","no","no","no",0,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",26.587,661,"HTML","no","no","no",2,"small"
"notspam","yes","yes","yes","no","no","no","no","no","no","no",17.588,264,"Plain","no","no","no",0,"big"
"notspam","no","yes","no","no","no","no","no","no","no","no",2.061,48,"HTML","no","no","no",0,"none"
"spam","no","yes","no","no","no","no","no","no","no","no",0.29,10,"Plain","no","no","no",0,"none"
"notspam","no","yes","no","yes","no","no","no","no","no","no",1.643,48,"HTML","yes","no","no",0,"small"
"spam","no","yes","no","no","no","no","yes","yes","no","no",8.881,189,"HTML","no","yes","no",9,"small"
"notspam","no","yes","no","no","no","no","yes","no","yes","no",26.39,510,"HTML","no","no","no",29,"small"
"notspam","no","yes","no","yes","no","no","no","no","no","no",0.914,27,"HTML","yes","no","no",0,"small"
"notspam","no","yes","no","no","no","no","yes","no","no","no",2.06,18,"HTML","no","no","no",0,"small"
"notspam","yes","yes","no","no","no","no","no","no","no","no",1.009,28,"HTML","no","no","no",0,"big"
"notspam","yes","yes","no","no","no","yes","no","no","no","no",0.302,8,"Plain","no","no","no",0,"none"
"notspam","yes","yes","no","no","no","yes","no","no","no","no",1.897,50,"Plain","no","no","no",0,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",8.13,138,"HTML","no","no","no",1,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",9.613,193,"HTML","no","no","no",0,"big"
"notspam","no","yes","no","no","no","no","no","no","no","no",25.354,638,"HTML","no","no","no",1,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",0.003,2,"Plain","no","no","no",0,"none"
"notspam","yes","yes","no","no","no","no","no","no","no","no",4.904,57,"Plain","no","no","no",0,"small"
"notspam","yes","yes","no","no","no","no","no","no","no","no",3.318,51,"Plain","no","yes","no",2,"small"
"notspam","no","yes","no","no","no","no","yes","no","no","no",16.341,357,"HTML","no","yes","no",2,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",0.754,24,"Plain","no","no","no",0,"none"
"notspam","yes","yes","no","no","no","yes","yes","no","no","no",3.488,58,"Plain","no","no","no",3,"small"
"notspam","no","yes","yes","yes","no","no","no","no","no","no",18.38,481,"HTML","yes","no","no",10,"small"
"notspam","no","yes","no","yes","no","no","no","no","no","yes",2.1,53,"HTML","yes","no","no",2,"small"
"spam","no","yes","no","no","no","no","no","no","no","no",6.132,138,"HTML","no","no","no",7,"small"
"notspam","yes","yes","no","no","no","no","no","no","no","no",1.07,18,"HTML","no","no","no",0,"big"
"notspam","no","yes","no","no","no","no","no","no","no","no",0.803,25,"Plain","no","no","no",0,"none"
"notspam","yes","yes","no","no","no","no","no","no","no","no",7.263,172,"HTML","no","yes","no",11,"big"
"notspam","no","yes","no","no","no","no","no","no","no","no",0.812,17,"Plain","no","no","no",0,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",3.352,90,"HTML","no","no","no",1,"small"
"notspam","no","yes","no","yes","no","no","no","no","no","no",18.172,551,"HTML","yes","no","no",12,"small"
"spam","no","yes","no","no","no","no","no","no","no","no",0.496,10,"Plain","no","no","no",0,"none"
"notspam","no","yes","yes","no","yes","yes","no","no","no","no",9.896,277,"HTML","no","no","no",5,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",8.057,134,"HTML","no","no","no",1,"small"
"notspam","yes","yes","no","no","no","no","no","no","no","no",5.44,59,"Plain","no","no","no",0,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",2.424,44,"HTML","no","no","no",2,"none"
"notspam","no","yes","no","no","no","no","no","no","no","no",25.571,643,"HTML","no","no","no",1,"small"
"notspam","no","yes","no","yes","no","yes","no","no","no","no",3.905,76,"HTML","no","no","no",8,"none"
"notspam","no","yes","no","no","no","no","no","no","no","no",3.637,75,"HTML","no","yes","no",16,"small"
"notspam","yes","yes","no","no","no","no","no","no","no","no",15.462,249,"Plain","no","no","no",0,"none"
"notspam","no","yes","yes","no","no","no","no","no","no","no",1.868,48,"Plain","yes","no","no",0,"small"
"spam","no","yes","no","no","no","no","no","no","yes","no",1.641,26,"HTML","no","yes","no",2,"none"
"notspam","no","yes","no","no","no","no","no","no","no","no",24.33,615,"HTML","no","no","no",2,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",25.173,635,"HTML","no","no","no",1,"small"
"spam","no","yes","no","no","no","yes","no","no","no","no",0.459,21,"Plain","no","no","no",0,"none"
"notspam","no","yes","no","yes","no","no","no","no","no","no",5.173,113,"HTML","yes","no","no",4,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",9.763,241,"HTML","no","no","no",3,"big"
"notspam","no","yes","no","no","no","no","yes","no","yes","no",7.964,193,"HTML","no","no","no",5,"small"
"spam","no","yes","no","no","no","no","no","no","no","no",13.252,189,"Plain","no","no","no",0,"none"
"notspam","no","yes","yes","yes","no","no","yes","no","no","no",10.731,357,"HTML","no","no","no",3,"big"
"spam","no","yes","no","no","no","no","yes","no","no","no",1.259,31,"HTML","no","no","no",1,"small"
"notspam","no","yes","yes","yes","no","no","no","no","no","no",18.709,514,"HTML","yes","no","no",10,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",1.656,30,"HTML","no","no","no",0,"none"
"spam","no","yes","no","no","no","no","no","no","no","no",13.201,189,"Plain","no","no","no",0,"none"
"notspam","no","yes","no","no","no","no","yes","no","no","no",10.464,176,"HTML","no","yes","no",14,"small"
"notspam","no","yes","no","no","no","no","yes","no","yes","no",8.655,198,"HTML","no","no","no",6,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",4.16,75,"HTML","no","no","no",3,"small"
"notspam","no","yes","no","yes","no","no","no","no","no","no",1.029,32,"HTML","yes","no","no",0,"small"
"notspam","no","yes","no","yes","no","no","no","no","no","no",4.348,88,"HTML","yes","no","no",6,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",1.11,48,"Plain","yes","no","no",2,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",3.833,84,"HTML","no","no","no",0,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",4.714,95,"HTML","no","no","no",1,"small"
"notspam","yes","yes","no","yes","no","no","no","no","no","no",93.4,2165,"HTML","no","no","no",148,"big"
"notspam","no","yes","no","no","no","no","no","no","no","no",15.32,272,"HTML","no","no","no",2,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",0.281,12,"Plain","no","no","no",0,"none"
"notspam","no","yes","no","yes","no","no","no","no","no","no",3.494,106,"HTML","yes","no","no",4,"small"
"notspam","no","yes","yes","yes","no","no","no","no","no","no",7.912,179,"HTML","yes","no","no",4,"big"
"notspam","no","yes","no","no","no","no","no","no","no","no",3.307,125,"HTML","no","no","no",1,"none"
"notspam","yes","yes","no","no","no","no","no","no","no","no",3.219,56,"Plain","no","no","no",1,"small"
"notspam","no","yes","no","no","no","no","yes","no","no","yes",5.404,48,"Plain","no","no","no",1,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",24.409,457,"HTML","no","no","no",2,"small"
"notspam","no","yes","no","yes","no","no","no","no","no","no",13.562,357,"HTML","yes","no","no",2,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",15.281,212,"Plain","no","no","no",0,"none"
"notspam","no","yes","no","no","no","no","no","no","no","no",28.279,598,"HTML","no","no","no",21,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",23.761,604,"HTML","no","no","no",1,"small"
"notspam","no","yes","yes","yes","no","no","no","no","no","no",27.569,780,"HTML","yes","no","no",0,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",6.813,103,"HTML","no","no","no",10,"small"
"notspam","no","yes","no","yes","no","no","no","no","no","no",0.789,22,"Plain","yes","no","no",0,"small"
"notspam","no","yes","no","no","no","yes","no","no","no","no",2.342,63,"HTML","no","no","no",0,"small"
"spam","no","yes","no","no","no","no","no","no","no","no",0.727,17,"HTML","no","no","no",1,"small"
"notspam","no","yes","yes","yes","no","no","no","no","no","no",29.186,678,"HTML","yes","no","no",2,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",23.385,445,"HTML","no","no","no",2,"small"
"notspam","no","yes","yes","yes","no","no","no","no","no","no",33.748,815,"HTML","yes","no","no",71,"big"
"notspam","no","yes","no","no","no","no","no","no","no","no",9.357,151,"HTML","no","no","no",1,"small"
"notspam","yes","yes","no","yes","yes","yes","no","no","no","no",17.402,552,"HTML","yes","no","no",21,"big"
"notspam","no","yes","no","no","no","no","no","no","no","no",13.792,366,"HTML","no","no","no",4,"big"
"notspam","no","yes","no","no","no","no","yes","no","yes","no",20.469,432,"HTML","no","no","no",11,"small"
"notspam","no","yes","no","yes","no","no","yes","no","no","no",0.404,16,"Plain","no","no","no",0,"small"
"notspam","yes","yes","no","yes","no","no","no","no","no","no",9.193,299,"HTML","no","no","no",13,"big"
"spam","no","yes","no","no","no","no","no","no","no","no",19.317,436,"HTML","no","no","no",43,"small"
"notspam","no","yes","no","no","no","no","yes","no","no","no",46.253,577,"HTML","no","no","no",11,"small"
"notspam","no","yes","yes","yes","no","no","no","no","no","no",26.753,536,"HTML","yes","no","no",14,"big"
"notspam","no","yes","no","no","no","no","no","no","no","no",32.268,764,"HTML","no","no","no",1,"small"
"notspam","no","yes","yes","yes","no","no","no","no","no","no",1.938,46,"Plain","yes","no","no",1,"small"
"notspam","no","yes","no","no","no","no","yes","no","no","no",19.142,257,"HTML","no","yes","no",20,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",8.625,184,"HTML","no","no","no",1,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",24.686,622,"HTML","no","no","no",2,"small"
"notspam","no","yes","no","no","no","no","yes","no","no","no",18.703,387,"HTML","no","no","no",21,"big"
"notspam","no","yes","no","no","no","no","no","no","no","no",9.337,179,"HTML","no","no","no",0,"big"
"notspam","no","yes","yes","yes","no","no","no","no","no","no",30.096,947,"HTML","yes","no","no",12,"small"
"notspam","no","yes","no","no","no","no","yes","no","yes","no",20.878,411,"HTML","no","no","no",22,"small"
"spam","no","yes","no","no","no","no","no","no","no","no",0.465,12,"HTML","no","no","no",0,"none"
"notspam","yes","yes","no","no","yes","yes","no","no","no","no",33.36,439,"Plain","no","no","no",1,"big"
"notspam","no","yes","no","no","no","no","yes","no","yes","no",28.138,525,"HTML","no","no","no",30,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",5.332,107,"Plain","yes","no","no",2,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",7.55,126,"HTML","no","no","no",1,"small"
"notspam","no","yes","no","yes","no","no","no","no","no","no",0.166,9,"Plain","no","no","no",2,"none"
"notspam","no","yes","no","no","no","no","no","no","no","no",3.06,87,"Plain","yes","no","no",3,"small"
"notspam","no","yes","no","no","no","no","yes","no","no","no",44.774,880,"HTML","no","no","no",10,"small"
"notspam","no","yes","no","no","no","no","yes","no","no","no",12.352,198,"HTML","no","yes","no",18,"small"
"notspam","no","yes","no","no","no","no","yes","no","no","no",13.998,198,"HTML","no","yes","no",8,"small"
"notspam","no","yes","no","yes","no","no","no","no","no","no",4.231,106,"HTML","yes","yes","no",2,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",41.107,539,"HTML","no","no","no",14,"small"
"notspam","no","yes","no","yes","no","no","no","no","no","yes",0.56,19,"Plain","yes","no","yes",1,"small"
"notspam","no","yes","no","yes","no","no","no","no","no","no",2.001,48,"HTML","yes","no","no",0,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",25.228,636,"HTML","no","no","no",1,"small"
"spam","no","yes","no","no","no","no","no","no","no","no",16.65,519,"HTML","no","no","no",6,"small"
"notspam","no","yes","no","yes","no","no","no","no","no","no",0.069,6,"Plain","no","yes","no",1,"none"
"spam","no","yes","no","no","no","no","no","no","no","no",1.278,2,"Plain","no","no","no",0,"none"
"notspam","no","yes","no","yes","no","no","no","no","no","no",4.92,79,"HTML","yes","no","no",5,"small"
"notspam","no","yes","no","no","no","no","no","yes","no","no",0.356,11,"Plain","no","no","no",0,"none"
"notspam","no","yes","no","no","no","no","yes","no","no","no",101.727,2189,"HTML","no","no","no",23,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",0.776,17,"Plain","no","no","no",0,"small"
"notspam","no","yes","no","yes","no","no","no","no","no","no",5.996,116,"HTML","yes","no","no",2,"small"
"notspam","no","yes","yes","yes","no","no","no","no","no","no",8.818,212,"HTML","yes","no","no",0,"small"
"notspam","no","yes","no","yes","no","no","yes","no","no","no",7.361,175,"HTML","yes","no","no",2,"small"
"spam","no","yes","no","no","no","no","no","no","no","no",13.128,188,"Plain","no","no","no",0,"none"
"notspam","no","yes","no","yes","no","no","no","no","no","no",16.51,394,"HTML","yes","no","no",8,"small"
"notspam","no","yes","no","no","no","no","yes","no","no","no",9.585,150,"HTML","no","yes","no",14,"small"
"notspam","no","yes","no","no","no","no","yes","no","no","no",16.804,227,"HTML","no","no","no",12,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",13.337,179,"HTML","no","no","no",13,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",3.796,71,"HTML","no","no","no",4,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",2.198,42,"Plain","no","no","no",2,"none"
"notspam","yes","yes","no","no","no","yes","no","no","no","no",2.45,63,"HTML","no","no","no",0,"small"
"notspam","yes","yes","no","no","no","no","no","no","no","no",5.367,58,"Plain","no","no","no",0,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",5.264,118,"HTML","no","no","no",1,"small"
"notspam","yes","yes","no","yes","no","no","no","no","no","no",3.028,84,"HTML","no","no","no",4,"small"
"notspam","no","yes","no","no","no","yes","no","no","no","no",10.398,130,"HTML","no","no","no",2,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",3.361,59,"HTML","no","no","no",0,"none"
"notspam","yes","yes","no","no","no","no","yes","no","no","no",25.394,328,"Plain","no","no","no",0,"small"
"notspam","no","yes","no","yes","no","no","no","no","no","no",0.729,21,"HTML","yes","no","no",0,"small"
"notspam","no","yes","yes","yes","no","no","no","no","no","no",26.217,633,"HTML","yes","no","no",14,"big"
"notspam","no","yes","no","no","no","no","no","no","no","no",33.115,781,"HTML","no","no","no",1,"small"
"notspam","no","yes","no","yes","no","no","no","no","no","no",2.714,71,"HTML","yes","no","no",4,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",4.465,90,"HTML","no","no","no",1,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",3.715,68,"HTML","no","no","no",0,"none"
"notspam","yes","yes","no","no","no","no","no","no","no","no",5.246,56,"Plain","no","no","no",0,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",25.167,636,"HTML","no","no","no",1,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",0.723,16,"Plain","no","no","no",0,"small"
"notspam","no","yes","yes","yes","no","no","yes","no","no","no",10.259,259,"HTML","yes","no","no",12,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",24.635,621,"HTML","no","no","no",1,"small"
"notspam","no","yes","no","yes","no","no","no","no","no","no",0.658,36,"Plain","yes","no","no",2,"none"
"notspam","no","yes","no","no","no","yes","no","no","no","no",0.558,23,"Plain","no","no","no",1,"none"
"notspam","no","yes","no","no","no","no","yes","no","no","no",66.956,1235,"HTML","no","no","no",1,"small"
"notspam","no","yes","no","no","no","no","yes","no","no","no",4.809,88,"HTML","yes","no","no",0,"small"
"spam","no","yes","no","no","no","no","no","no","no","no",0.833,28,"HTML","no","no","no",0,"small"
"notspam","no","yes","yes","yes","no","no","no","no","no","no",20.578,420,"HTML","yes","no","no",0,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",24.54,624,"HTML","no","no","no",1,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",33.766,797,"HTML","no","no","no",2,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",8.365,17,"HTML","no","no","no",6,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",4.23,57,"Plain","yes","no","no",0,"none"
"notspam","no","yes","no","no","no","no","no","no","no","no",4.35,62,"HTML","no","no","no",2,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",0.8,17,"Plain","no","no","no",0,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",0.413,12,"Plain","no","no","no",0,"none"
"notspam","no","yes","no","no","no","no","no","no","no","no",27.971,685,"HTML","no","no","no",1,"small"
"notspam","yes","yes","yes","no","no","no","no","no","no","no",23.05,537,"HTML","yes","no","no",8,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",31.53,502,"HTML","no","no","no",25,"small"
"notspam","no","yes","yes","no","no","yes","no","no","no","no",1.707,45,"Plain","yes","no","no",0,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",0.763,5,"HTML","no","no","no",0,"none"
"notspam","no","yes","no","no","no","no","no","no","no","no",9.494,189,"HTML","no","no","no",0,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",8.83,189,"HTML","no","no","no",1,"small"
"notspam","yes","yes","no","yes","no","no","no","no","no","no",1.213,30,"Plain","no","no","no",0,"small"
"notspam","no","yes","no","no","no","no","yes","no","no","no",26.636,661,"HTML","no","no","no",1,"small"
"spam","no","yes","yes","no","no","no","no","no","yes","no",0.996,56,"HTML","no","no","no",0,"none"
"notspam","no","yes","no","no","no","no","no","no","no","no",16.553,562,"HTML","no","no","no",9,"small"
"notspam","no","yes","no","yes","no","no","no","no","no","no",0.068,6,"Plain","yes","no","no",0,"none"
"notspam","no","yes","no","no","no","no","yes","no","yes","no",20.214,404,"HTML","no","no","no",21,"small"
"notspam","no","yes","no","no","no","no","yes","no","yes","no",11.638,265,"HTML","no","no","no",7,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",34.868,816,"HTML","no","no","no",1,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",25.468,641,"HTML","no","no","no",1,"small"
"notspam","no","yes","no","yes","no","no","no","no","no","no",6.433,170,"HTML","yes","no","no",2,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",2.281,52,"Plain","yes","no","no",1,"small"
"notspam","no","yes","no","yes","no","no","no","no","no","no",3.492,75,"HTML","yes","no","no",2,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",0.887,17,"Plain","no","no","no",0,"small"
"notspam","no","yes","no","no","no","no","yes","no","no","no",62.816,1123,"HTML","no","no","no",94,"big"
"notspam","no","yes","no","yes","no","no","no","no","no","no",7.802,209,"HTML","yes","no","no",12,"small"
"notspam","no","yes","yes","no","no","no","no","no","no","no",2.792,75,"Plain","yes","no","no",1,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",1.998,48,"Plain","yes","no","no",1,"small"
"notspam","no","yes","no","no","no","no","yes","no","yes","no",28.037,527,"HTML","no","no","no",30,"small"
"notspam","yes","yes","no","no","no","no","no","no","no","no",5.056,64,"Plain","no","no","no",0,"small"
"notspam","no","yes","yes","yes","no","no","no","no","no","no",0.331,16,"Plain","yes","no","no",1,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",0.253,8,"HTML","no","no","no",0,"none"
"notspam","yes","yes","no","no","no","no","no","no","no","no",0.342,8,"Plain","no","yes","no",0,"none"
"notspam","no","yes","no","yes","no","no","no","no","no","no",21.705,551,"HTML","yes","no","no",8,"small"
"notspam","no","yes","no","no","no","no","yes","no","no","no",8.641,276,"HTML","no","no","no",3,"small"
"notspam","no","yes","no","no","no","no","no","no","yes","no",9.806,180,"HTML","no","no","no",1,"small"
"spam","no","yes","no","no","no","no","no","no","no","no",0.691,17,"HTML","no","no","no",1,"small"
"notspam","no","yes","no","no","no","no","yes","no","yes","no",9.898,234,"HTML","no","no","no",6,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",0.786,15,"HTML","no","no","no",1,"small"
"notspam","no","yes","no","yes","no","no","no","no","no","yes",7.652,136,"HTML","yes","no","no",2,"small"
"notspam","no","yes","yes","no","no","no","yes","no","no","no",5.856,237,"HTML","no","no","no",1,"small"
"notspam","yes","yes","no","no","no","no","no","no","no","no",0.383,15,"Plain","no","no","no",1,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",3.371,76,"HTML","no","no","no",2,"small"
"notspam","no","yes","no","yes","no","no","no","no","no","no",0.609,16,"Plain","no","no","no",4,"none"
"notspam","no","yes","no","no","no","no","no","no","no","no",19.928,570,"HTML","no","no","no",10,"small"
"notspam","no","yes","no","no","no","no","yes","no","no","no",8.002,137,"HTML","no","yes","no",10,"small"
"notspam","no","yes","no","no","no","no","no","no","no","no",7.506,126,"HTML","no","no","no",1,"small"
